,Longitude,Latitude,Placemark,Cluster,DrinkingDay
0,-104.972814,39.769741,Black Shirt Brewing Co,-1,1
1,-104.932437,39.703027,Bull &amp; Bush,4,6
2,-104.89134,39.692681,Copper Kettle Brewing Company,4,6
3,-104.979568,39.768771,Crooked Stave Artisan Beer Project,13,15
4,-105.043517,39.776111,De Steeg Brewing,7,9
5,-105.007108,39.758362,Denver Beer Co,11,13
6,-104.997416,39.75496,Denver ChopHouse &amp; Brewery,11,13
7,-104.981415,39.76332,Epic Brewing Company,13,15
8,-104.988457,39.753656,Great Divide Brewing Co,13,15
9,-105.045073,39.758255,Hogshead Brewery,7,9
10,-104.982494,39.760606,Our Mutual Friend Brewing,13,15
11,-105.006671,39.76139,Prost Brewing Company,11,13
12,-104.999312,39.730616,Renegade Brewing Company,10,12
13,-104.987665,39.719958,TRVE Brewing Co.,12,14
14,-104.998373,39.753504,Wynkoop Brewing Company,11,13
15,-104.991463,39.752273,Jagged Mountain Craft Brewery,-1,1
16,-104.99848,39.723937,Black Sky Brewery,10,12
17,-104.898488,39.675659,Comrade Brewing Company,4,6
18,-104.905964,39.769571,Station 26 Brewing Co.,4,6
19,-104.967046,39.678709,FERM̠NTRA Brewery and Tap Room,-1,1
20,-104.90565,39.740383,Fiction Beer Company,4,6
21,-104.98041,39.739778,Lost Highway Brewing Company,-1,1
22,-104.974929,39.740326,Alpine Dog Brewing Company,-1,1
23,-105.003318,39.770354,Diebolt Brewing Company,11,13
24,-104.985753,39.729311,LowDown Brewery + Kitchen,12,14
25,-104.98703,39.721424,Baere Brewing Company,12,14
26,-104.987272,39.685475,Grandma's House,9,11
27,-104.990773,39.679751,Declaration Brewing,9,11
28,-105.0012,39.699624,Chain Reaction Brewing Company,-1,1
29,-105.034315,39.786894,Goldspot Brewing Company,7,9
30,-104.980346,39.76469,Beryl's Beer Co.,13,15
31,-104.981146,39.761572,Ratio Beerworks,13,15
32,-104.979739,39.771214,Mockery Brewing,13,15
33,-104.977123,39.755076,Spangalang Brewery,13,15
34,-105.058936,39.800845,Odyssey Beerwerks Brewery &amp; Taproom,-1,1
35,-104.838031,39.748301,Ursula Brewery,1,3
